time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-20T01:10:31.880Z,38.8156662,-122.8221664,2.99,1.57,md,33,65,0.008723,0.04,nc,nc73001621,2018-04-20T04:20:03.398Z,"7km NW of The Geysers, CA",earthquake,0.2,0.35,0.06,8,automatic,nc,nc
2018-04-20T01:00:54.240Z,33.8571667,-117.0861667,9.73,1.08,ml,31,71,0.07154,0.2,ci,ci37918359,2018-04-20T01:11:44.200Z,"8km NE of Nuevo, CA",earthquake,0.31,0.74,0.189,30,automatic,ci,ci
2018-04-20T00:44:54.780Z,47.3531667,-117.8973333,-0.38,2.28,ml,17,163,0.5153,0.38,uw,uw61364202,2018-04-20T02:31:33.770Z,"28km WSW of Cheney, Washington",explosion,1.21,31.61,0.076,13,reviewed,uw,uw
2018-04-20T00:34:51.142Z,62.2268,-150.5396,32.1,1.5,ml,,,,1.04,ak,ak19245235,2018-04-20T00:38:30.251Z,"24km WSW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-20T00:25:18.200Z,37.4736671,-118.7016678,15.16,1.64,md,18,83,0.1083,0.04,nc,nc73001606,2018-04-20T01:23:02.305Z,"10km S of Toms Place, CA",earthquake,0.31,1.18,0.2,15,automatic,nc,nc
2018-04-20T00:01:35.720Z,42.1131,-83.0462,7.78,3.6,mwr,,44,0.491,0.68,us,us1000dny9,2018-04-20T12:18:49.089Z,"0km SE of Amherstburg, Canada",earthquake,2.2,9.1,0.06,27,reviewed,us,us
2018-04-19T23:59:55.440Z,-22.7155,-174.5154,10,5.3,mb,,40,5.613,1.58,us,us1000dnyd,2018-04-20T00:22:17.040Z,"159km SSE of `Ohonua, Tonga",earthquake,6.1,1.7,0.038,225,reviewed,us,us
2018-04-19T23:55:23.418Z,65.0067,-147.3387,2.4,1.3,ml,,,,0.64,ak,ak19245093,2018-04-20T00:00:35.254Z,"24km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-19T23:51:46.510Z,36.1218338,-120.1801682,7.87,2.94,md,64,51,0.08334,0.18,nc,nc73001591,2018-04-20T03:52:02.871Z,"11km SW of Huron, CA",earthquake,0.32,0.56,0.16,56,automatic,nc,nc
2018-04-19T23:38:24.230Z,38.762001,-122.7336655,1.55,0.53,md,8,146,0.01257,0.02,nc,nc73001586,2018-04-19T23:40:03.314Z,"3km SE of The Geysers, CA",earthquake,0.51,1.04,0.44,2,automatic,nc,nc
2018-04-19T23:18:28.550Z,39.019165,-122.5735016,3.32,2.77,ml,24,90,0.1107,0.12,nc,nc73001571,2018-04-20T03:37:02.169Z,"8km NE of Clearlake, CA",earthquake,0.28,1.31,0.247,7,automatic,nc,nc
2018-04-19T23:17:37.430Z,39.0256653,-122.5891647,-0.49,2.54,md,15,108,0.1078,0.16,nc,nc73001576,2018-04-20T07:20:18.998Z,"7km E of Clearlake Oaks, CA",earthquake,0.48,5.09,0.31,10,automatic,nc,nc
2018-04-19T23:17:12.070Z,47.7956667,-120.6075,-1.03,2.09,md,6,234,0.2664,0.29,uw,uw61364187,2018-04-20T02:37:15.270Z,"22km N of Leavenworth, Washington",explosion,2.78,31.61,0.174,5,reviewed,uw,uw
2018-04-19T23:16:37.050Z,46.9161,-112.542,9.32,2.9,ml,,137,0.181,1.26,us,us1000dnxm,2018-04-20T11:59:11.401Z,"11km ESE of Lincoln, Montana",earthquake,6.6,8.9,0.053,46,reviewed,us,us
2018-04-19T23:14:42.070Z,39.028,-122.574,-0.12,1.82,md,17,89,0.117,0.24,nc,nc73001566,2018-04-20T07:05:02.341Z,"8km E of Clearlake Oaks, CA",earthquake,0.73,18.91,0.173,15,reviewed,nc,nc
2018-04-19T23:13:13.240Z,38.809166,-122.7386703,1.26,1.5,md,24,61,0.01063,0.06,nc,nc73001561,2018-04-20T00:18:03.341Z,"2km SW of Cobb, CA",earthquake,0.21,0.44,0.22,8,automatic,nc,nc
2018-04-19T23:01:04.880Z,33.4948333,-116.7673333,7.62,1.19,ml,37,31,0.07472,0.12,ci,ci37918335,2018-04-19T23:57:23.150Z,"11km ENE of Aguanga, CA",earthquake,0.14,0.45,0.151,22,reviewed,ci,ci
2018-04-19T22:52:38.480Z,31.2548,80.4892,31.26,4,mb,,163,6.409,1.32,us,us1000dnx9,2018-04-19T23:19:32.040Z,"56km SSE of Garyarsa, China",earthquake,11.8,9.5,0.134,15,reviewed,us,us
2018-04-19T22:47:55.160Z,19.2253333,-155.5145,7.89,1.11,md,14,139,0.02721,0.11,hv,hv70085916,2018-04-19T23:08:29.310Z,"4km WNW of Pahala, Hawaii",earthquake,0.44,1.05,0.067,6,reviewed,hv,hv
2018-04-19T22:46:26.510Z,33.51,-116.794,6.09,0.72,ml,24,60,0.07277,0.13,ci,ci37918311,2018-04-19T23:51:51.534Z,"10km NE of Aguanga, CA",earthquake,0.2,0.63,0.09,16,reviewed,ci,ci
2018-04-19T22:45:44.120Z,38.8296661,-122.8096695,1.84,1.49,md,23,51,0.02086,0.04,nc,nc73001556,2018-04-19T23:47:03.690Z,"7km NW of The Geysers, CA",earthquake,0.23,0.4,0.14,6,automatic,nc,nc
2018-04-19T22:39:38.640Z,40.4325,-122.0088333,11.43,1.23,md,8,176,0.1334,0.04,nc,nc73001546,2018-04-20T03:07:03.010Z,"12km WSW of Shingletown, CA",earthquake,0.53,1.21,0.15,6,reviewed,nc,nc
2018-04-19T22:35:43.773Z,62.634,-152.0113,0.8,1.8,ml,,,,0.68,ak,ak19244951,2018-04-19T22:40:14.014Z,"103km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-19T22:30:12.730Z,19.0908333,-155.4655,25.49,1.72,md,45,182,0.06432,0.1,hv,hv70085901,2018-04-19T23:02:37.950Z,"12km S of Pahala, Hawaii",earthquake,0.67,1.01,0.05,21,reviewed,hv,hv
2018-04-19T22:13:48.350Z,35.8705,-117.8015,7.33,1.11,ml,21,53,0.0686,0.13,ci,ci37918303,2018-04-19T22:28:29.668Z,"12km SE of Little Lake, CA",earthquake,0.2,0.55,0.186,12,reviewed,ci,ci
2018-04-19T22:10:59.430Z,37.1870003,-118.597168,12.02,1.53,md,13,212,0.1425,0.02,nc,nc73001531,2018-04-20T01:31:02.360Z,"21km WSW of Wilkerson, CA",earthquake,1.41,0.85,0.09,5,automatic,nc,nc
2018-04-19T22:07:45.150Z,33.4856667,-116.785,4.98,0.18,ml,14,105,0.08895,0.08,ci,ci37918295,2018-04-19T22:25:54.475Z,"9km ENE of Aguanga, CA",earthquake,0.23,0.78,0.075,4,reviewed,ci,ci
2018-04-19T21:34:32.500Z,32.9563333,-115.7555,7.94,1.69,ml,18,101,0.03897,0.24,ci,ci37918279,2018-04-19T22:21:51.312Z,"15km SW of Westmorland, CA",earthquake,0.4,0.44,0.123,16,reviewed,ci,ci
2018-04-19T21:10:06.170Z,36.5519981,-121.1405029,7,1.45,md,7,132,0.046,0.06,nc,nc73001511,2018-04-20T00:22:02.879Z,"2km N of Pinnacles, CA",earthquake,0.57,1.45,0.21,6,automatic,nc,nc
2018-04-19T21:09:37.020Z,37.6231667,-119.0135,-0.23,1.03,md,7,114,0.01208,0.04,nc,nc73001516,2018-04-20T03:09:04.022Z,"3km WSW of Mammoth Lakes, CA",earthquake,0.35,0.3,0.095,3,reviewed,nc,nc
2018-04-19T21:09:17.000Z,-42.7797,42.1877,10,6,mww,,20,15.638,0.83,us,us1000dnuj,2018-04-19T23:15:29.700Z,"Prince Edward Islands region",earthquake,9.6,1.7,0.042,54,reviewed,us,us
2018-04-19T20:57:10.359Z,40.2367,-118.1535,5.7,1.8,ml,9,176.72,0.737,0.3973,nn,nn00630991,2018-04-19T21:18:55.464Z,"27km ENE of Lovelock, Nevada",explosion,,1,0.07,7,reviewed,nn,nn
2018-04-19T20:54:26.040Z,38.8481674,-122.7570038,0.65,0.58,md,6,202,0.01174,0.01,nc,nc73001496,2018-04-19T21:40:02.984Z,"4km NW of Cobb, CA",earthquake,0.44,0.87,0.06,3,automatic,nc,nc
2018-04-19T20:54:07.600Z,38.8441658,-122.7561646,0.55,1.66,md,25,144,0.01588,0.05,nc,nc73001491,2018-04-19T23:28:02.581Z,"4km NW of Cobb, CA",earthquake,0.27,0.29,0.13,7,automatic,nc,nc
2018-04-19T20:22:43.780Z,38.7540016,-122.734169,0.55,1.44,md,12,116,0.008201,0.07,nc,nc73001486,2018-04-19T23:01:02.428Z,"3km SE of The Geysers, CA",earthquake,0.34,0.64,0.25,6,automatic,nc,nc
2018-04-19T20:08:53.710Z,35.9536667,-117.6668333,2.44,0.5,ml,10,84,0.01454,0.08,ci,ci37918247,2018-04-19T22:12:27.975Z,"22km E of Little Lake, CA",earthquake,0.18,0.1,0.185,6,reviewed,ci,ci
2018-04-19T19:55:43.460Z,35.9925,-117.5291667,2.3,1.11,ml,12,90,0.07301,0.13,ci,ci37918239,2018-04-19T20:05:39.830Z,"28km NNW of Searles Valley, CA",earthquake,0.23,0.33,0.125,11,reviewed,ci,ci
2018-04-19T19:50:18.200Z,33.4995,-116.7955,5.15,1.09,ml,40,33,0.08175,0.13,ci,ci37918215,2018-04-19T20:02:32.520Z,"9km NE of Aguanga, CA",earthquake,0.13,0.69,0.146,24,reviewed,ci,ci
2018-04-19T19:44:19.661Z,35.8739,-116.678,0,0.4,ml,3,271.72,0.18,0.0739,nn,nn00630981,2018-04-19T20:38:57.132Z,"66km E of Searles Valley, California",earthquake,,0,0.25,2,reviewed,nn,nn
2018-04-19T19:43:59.470Z,-17.1575,-178.7053,498.06,4.2,mb,,73,3.149,1.32,us,us1000dnsk,2018-04-19T23:38:20.040Z,"219km ESE of Lambasa, Fiji",earthquake,16.3,7.9,0.056,89,reviewed,us,us
2018-04-19T19:37:40.930Z,39.6126671,-121.5681686,0.68,2.23,md,7,174,0.05384,0.03,nc,nc73001456,2018-04-19T22:07:02.144Z,"11km N of Oroville, CA",earthquake,0.92,7.75,0.37,7,automatic,nc,nc
